100,UNIQUE_SUM: m=100 range=(1; 1000) shiftHash
79,0.000000,40976.362233
80,0.000000,34295.385374
81,0.000000,38557.094340
82,0.000000,39187.811986
83,0.000000,44712.336242
84,0.000000,42027.020037
85,0.000000,44067.646302
86,0.000000,42138.122123
87,0.000000,37978.760654
88,0.000000,49010.071149
89,0.000000,45992.368640
90,0.000000,45210.044310
91,0.000000,44515.976448
92,0.000000,47295.379641
93,0.000000,40796.031126
94,0.000000,48903.554392
95,0.000000,45831.810709
96,0.000000,47550.167154
97,0.000000,44799.669477
98,0.000000,47994.228055
99,0.000000,48218.253079
100,0.000000,49265.776079
101,0.000000,54469.526637
102,0.000000,51174.922839
103,0.000000,54827.924308
104,0.000000,48977.683292
105,0.000000,51857.389874
106,0.000000,51642.176870
107,0.000000,55332.920213
108,0.000000,53569.922662
109,0.000000,49913.944120
110,0.000000,55870.353878
111,0.000000,48630.762482
112,0.000000,61878.422495
113,0.000000,60667.330413
114,0.000000,56725.820319
115,0.000000,63226.899555
116,0.000000,60312.862533
117,0.000000,60300.072530
118,0.000000,58390.176797
119,0.000000,59787.882177
120,0.000000,63056.816187
121,0.000000,62185.590699
122,0.000000,61618.050379
123,0.000000,57396.347944
124,0.000000,58464.030692
125,0.000000,62729.050771
126,0.000000,66592.030587
127,0.000000,68758.040061
128,0.000000,54794.319949
129,0.000000,68801.284375
130,0.000000,63006.909918
131,0.000000,65704.298561
132,0.000000,67152.534447
133,0.000000,64389.582054
134,0.000000,68755.441694
135,0.000000,68575.497961
136,0.000000,66318.492410
137,0.000000,65972.382283
138,0.000000,70810.618834
139,0.000000,72595.908160
140,0.000000,74085.631103
141,0.000000,69461.208432
142,0.000000,75438.735841
143,0.000000,70527.603516
144,0.000000,73262.871059
145,0.000000,70686.835219
146,0.000000,69258.558638
147,0.000000,68764.143011
148,0.000000,76516.580806
149,0.000000,72857.773606
150,0.000000,71049.213661
151,0.000000,73879.517542
152,0.000000,76655.417820
153,0.000000,79217.096697
154,0.000000,72076.251079
155,0.000000,78331.748245
156,0.000000,80561.479909
157,0.000000,76405.755560
158,0.000000,77676.827247
159,0.000000,71815.313798
160,0.000000,71002.006132
161,0.000000,77222.530252
162,0.000000,84700.982422
163,0.000000,80664.682339
164,0.000000,88560.304003
165,0.000000,89093.455925
166,0.000000,80392.404584
167,0.000000,84699.999117
168,0.000000,87219.564155
169,0.000000,91098.938023
170,0.000000,83183.414232
171,0.000000,84641.457390
172,0.000000,93449.708862
173,0.000000,86479.279122
174,0.000000,93031.617752
175,0.000000,88944.777591
176,0.000000,87117.398998
177,0.000000,83335.085204
178,0.000000,85646.817709
179,0.000000,85312.596840
180,0.000000,85037.898468
181,0.000000,84302.968847
182,0.000000,89723.705329
183,0.000000,87197.833042
184,0.000000,98683.708175
185,0.000000,96013.267141
186,0.000000,91636.499182
187,0.000000,92808.518516
188,0.000000,95499.530201
189,0.000000,101498.180701
190,0.000000,98861.093708
191,0.000000,91568.162148
192,0.000000,92033.029245
193,0.000000,97190.091242
194,0.000000,97339.457755
195,0.000000,97188.942717
196,0.000000,97868.629696
197,0.000000,99943.833852
198,0.000000,100246.659847
199,0.000000,92676.431859
200,0.000000,96247.769243
201,0.000000,97297.115218
202,0.000000,102046.171515
203,0.000000,104677.172613
204,0.000000,106185.002876
205,0.000000,106969.220478
206,0.000000,102139.701606
207,0.000000,109555.337965
208,0.000000,103409.974761
209,0.000000,99005.736373
210,0.000000,99610.953174
211,0.000000,95288.576425
212,0.000000,104676.967039
213,0.000000,107190.934844
214,0.000000,112644.509996
215,0.000000,100237.078153
216,0.000000,107087.022286
217,0.000000,108293.827087
218,0.000000,111380.741509
219,0.000000,100396.474600
220,0.000000,106770.332163
221,0.000000,115388.190739
222,0.000000,117152.775888
223,0.000000,107512.124701
224,0.000000,108184.051804
225,0.000000,114738.600562
226,0.000000,113571.882467
227,0.000000,108448.157816
228,0.000000,110503.327496
229,0.000000,109532.809126
230,0.000000,111990.992543
231,0.000000,114779.195978
232,0.000000,109240.966623
233,0.000000,114077.139088
234,0.000000,120095.110701
235,0.000000,125501.037959
236,0.000000,117969.394044
237,0.000000,124386.039311
238,0.000000,117630.436180
239,0.000000,114624.484520
