100,UNIQUE_SUM: m=100 range=(1; 1000) hash1
1,452.822172,426.062724
2,1355.948728,1610.370346
3,1725.964851,2042.570726
4,2070.972552,1850.642137
5,3222.419113,3445.597622
6,4575.923963,3888.403707
7,3652.722770,3022.663572
8,3416.178356,3343.825424
9,5572.754181,5308.987167
10,3926.208192,3985.920301
11,6164.315965,6671.732211
12,5191.688041,4971.029264
13,7170.584951,6849.283696
14,5608.875415,6638.405985
15,7475.374285,8748.265969
16,6612.871685,6828.622958
17,6765.991591,7510.220284
18,6754.534936,6383.669561
19,9548.094450,10585.689410
20,12141.329228,11678.257818
21,9846.869990,9343.830972
22,8995.784280,8808.461343
23,11156.698491,12957.854779
24,13303.564317,13761.999431
25,12126.507544,10963.071401
26,12042.452598,12089.320642
27,16176.387887,13571.534068
28,14265.683761,14502.573211
29,15508.405189,14547.595571
30,18448.563194,16906.258625
31,14489.910338,11749.674632
32,17752.054289,16646.817607
33,24106.680020,18909.052688
34,13446.905436,14508.964516
35,19160.557659,19502.990209
36,19644.361652,19428.738552
37,22158.229894,21755.588989
38,19207.180817,17679.585742
39,20369.796261,20553.865833
40,15316.938707,17053.433898
41,21227.891287,21546.037580
42,18804.041781,19486.467350
43,20927.401001,18786.226228
44,25459.561866,22430.133475
45,21236.637084,20540.489663
46,19879.984389,20090.374409
47,29145.298877,25568.068169
48,23188.547572,24053.529294
49,28535.351425,23897.342012
50,22482.146433,26057.746350
51,29206.070564,29019.534694
52,25624.636662,24376.288300
53,28585.248678,25858.967840
54,28423.215621,25209.861729
55,25125.967240,27330.333998
56,27571.543950,26425.768125
57,33323.799281,27129.250979
58,29631.110629,33825.439434
59,27607.164563,28457.696075
60,28571.202153,26666.036432
61,38582.663959,29493.232020
62,27676.312586,30541.642395
63,31179.333012,31350.248199
64,26679.812218,27869.704482
65,31001.982820,32827.477098
66,37718.578272,34087.245421
67,41885.770095,33461.812346
68,36755.601969,35543.720197
69,38894.418577,39013.443994
70,31683.640678,32834.229886
71,35351.392440,32113.646355
72,37866.127675,37563.731373
73,37181.497959,39460.306743
74,43206.896242,37517.662161
75,34890.089820,33356.676855
76,52527.877627,41720.196113
77,35999.752193,34489.045862
78,30651.869197,35527.242055
79,48643.855267,38091.210407
80,32252.681209,37890.040184
81,38639.662220,42257.923904
82,42536.671424,39466.093766
83,38053.334712,37918.835941
84,53263.350998,43110.023696
85,48437.473937,41435.524707
86,55816.314510,46360.322800
87,41663.784376,39732.998676
88,44747.359862,45487.951965
89,39102.918202,45990.825850
90,47967.268498,41801.896581
91,45368.443947,43410.263664
92,42135.918502,43823.872204
93,44774.791465,46937.991089
94,42343.141585,46751.864323
95,46409.438633,43731.095958
96,48942.303561,50787.101167
97,58760.388967,53543.044266
98,54473.000883,47978.025730
99,53534.228765,49785.221530
100,58797.698683,54358.412980
101,44727.586396,49708.487524
102,63190.498474,54223.535674
103,52192.426878,51340.229711
104,51485.877061,55488.310667
105,63726.697524,56690.071658
106,61642.252408,56159.322712
107,51015.743728,55442.352015
108,41966.291395,50273.285118
109,50350.245698,49757.254805
110,48737.697651,53995.475144
111,49048.568276,53177.434183
112,56623.147549,57117.489725
113,56094.319247,58975.805885
114,56184.977261,58320.497373
115,52499.001941,56463.942472
116,57925.819312,58981.647954
117,64331.343587,61973.152801
118,58495.835583,61416.707265
119,77506.036452,59058.617618
120,64242.531106,61416.106715
121,61814.361688,56353.901285
122,59362.624853,63046.705975
123,65025.615072,59350.102913
124,77412.247323,67691.573185
125,61552.272052,63155.509771
126,45608.809695,53198.567736
127,58185.215775,54671.051990
128,70486.746077,72923.879085
129,61703.132885,61246.323082
130,78139.939131,63213.874577
131,70684.444213,71192.220657
132,68402.325657,70962.198484
133,65281.878616,63266.221037
134,65536.028645,65351.408178
135,69717.426544,67482.382270
136,77351.905586,67688.913860
137,77005.358166,66929.532371
138,75075.252973,68850.833221
139,80251.482336,72563.756964
140,67918.913306,65939.527148
141,76043.671088,69430.231584
142,77209.385334,67353.402064
143,69995.932640,71470.162506
144,68970.936058,71570.177540
145,66146.770022,70225.562705
146,72593.543449,74071.119152
147,80326.542901,73864.463209
148,81594.651877,73872.553743
149,90212.693388,77796.650192
150,79833.666543,73884.223159
151,79784.911481,74451.506593
152,79612.836926,77857.808045
153,71928.982684,75277.902072
154,63565.630556,73213.773853
155,70291.160023,78905.929094
156,55900.060950,73167.489255
157,81901.730265,74579.517293
158,72334.335025,81521.641435
159,69334.712993,77641.134934
160,104371.152496,78025.671039
161,73854.581456,79269.469291
162,74863.286560,79795.364426
163,70667.964822,80182.338174
164,79648.399785,78677.020110
165,85027.517064,88884.898546
166,81616.724672,80397.328646
167,73085.120619,82710.691991
168,92157.799225,92758.554653
169,64747.291881,76828.791986
170,68873.347061,82047.023584
171,78211.574470,86246.867098
172,82811.351353,86647.914740
173,89851.304020,87491.025951
174,72559.164837,84565.001483
175,80920.313905,83217.644771
176,106710.227804,84306.116335
177,66183.095231,82961.992346
178,92164.125706,90310.735672
179,95068.889042,93579.834859
180,82113.014028,89276.859935
181,94239.697892,92688.712782
182,96353.635681,91146.910493
183,106153.730911,98107.158634
184,87208.051952,86626.848250
185,109053.970754,92025.660321
186,92491.932424,89307.995560
187,93137.472477,94389.879289
188,100772.266848,93331.769315
189,87549.795881,92144.106119
190,94960.238963,94824.724239
191,96360.689948,101762.978993
192,96822.397323,95935.060652
193,102951.116365,102120.663634
194,95229.267945,94268.780418
195,98438.251310,105797.524396
196,136432.979938,106814.653985
197,84236.992910,93927.111358
198,82014.356661,91560.772916
199,103274.622045,97502.883637
200,122659.268597,110760.055557
201,95369.357048,94743.876061
202,116784.081706,102707.444405
203,94715.812439,105266.607530
204,129046.691230,103195.456348
205,113404.721942,100276.753399
206,94419.037681,104522.795985
207,129053.962636,109710.423016
208,115564.868182,109100.174479
209,105157.375096,94289.921174
210,99406.408133,102457.825450
211,106501.686290,106568.681244
212,123290.741529,111908.460181
213,89108.772858,107724.366250
214,133076.069661,106645.074282
215,96018.680669,110523.814670
216,98374.275666,108085.634734
217,117765.339485,104965.863232
218,89776.592219,98001.036669
219,125964.780850,104679.422447
220,97560.655174,108525.200438
221,99734.536763,108664.264193
222,98686.434385,112465.757886
223,77043.656096,111768.451734
224,128317.762579,112177.364286
225,106191.084740,115007.689397
226,114421.044234,116863.038356
227,101650.664386,106544.240677
228,106237.264761,116623.179628
229,106649.016959,110567.890285
230,100860.693565,114529.015660
231,152062.714799,117960.097348
232,110386.721430,109435.421997
233,108130.685381,111759.154072
234,117489.047816,116343.965817
235,138944.412722,114973.540000
236,108730.636559,112847.706023
237,129143.860927,122580.575325
238,95320.738303,117305.448676
239,107484.853998,118565.443764
240,127343.896618,118959.768419
241,103805.941206,119080.574994
242,135359.674620,121506.605354
243,123215.514968,122809.744523
244,123307.767728,122181.443247
245,117654.126190,122703.105154
246,119478.141252,114108.079065
247,111977.736166,120960.842506
248,118253.909838,123195.491264
249,133998.451013,122667.872309
250,135566.075055,124551.956452
251,111322.637966,124987.302893
252,105640.501447,122110.614791
253,123630.305092,126407.440869
254,112717.909825,122186.773876
255,122381.727994,126760.690625
256,142054.890638,126941.383702
