100,UNIQUE_SUM: m=100 range=(1; 1000)
1,999.144046,940.099800
2,1008.908527,1078.742329
3,1418.775536,1724.366860
4,1105.664463,998.813886
5,1788.858011,1715.051895
6,3566.777023,3291.570134
7,4071.307791,3651.841848
8,4130.821628,4517.929725
9,4844.885806,4554.846619
10,4849.261070,5077.269713
11,5664.463629,6353.636859
12,7984.091441,6933.678709
13,8574.645405,7193.274497
14,6742.412512,6692.628000
15,6272.830215,6729.792452
16,6141.382821,6871.800294
17,6068.009584,6446.392558
18,9802.884311,10281.693185
19,7783.159089,9138.866789
20,11293.070464,11333.813063
21,9176.052357,8791.356378
22,10032.207565,10176.811331
23,12441.993688,11832.263252
24,13216.120862,13788.458591
25,14150.223780,12808.190820
26,9335.141903,8988.454663
27,14779.998748,13135.162341
28,13959.249180,14995.712671
29,14776.347404,13679.426182
30,19443.638686,15630.653167
31,12769.086169,12720.874940
32,13064.145770,16387.125565
33,19640.150833,16647.519859
34,16183.585098,14754.804729
35,18997.465806,17548.743561
36,15088.806038,17166.073325
37,18009.110979,17913.248617
38,22947.987404,21603.658306
39,22721.165489,22021.595013
40,18065.741676,20271.919228
41,23360.425209,22883.239764
42,17976.536140,20586.966253
43,27509.332323,21675.157987
44,26240.491663,23186.415637
45,22150.792346,22084.350333
46,24288.081857,21888.357734
47,26513.390153,25313.376267
48,24422.900427,24558.319997
49,29695.025203,25944.449254
50,28167.197431,27923.774297
51,29957.469314,26579.671007
52,25292.151909,24662.347676
53,27519.059725,24825.901866
54,30552.579122,26462.651457
55,23308.884693,26625.032917
56,29988.658818,30282.816218
57,39252.366302,31862.621841
58,28920.758240,30349.688494
59,33623.914381,28232.205362
60,25418.225430,25978.399235
61,32314.556284,30782.061115
62,33257.285599,34913.798336
63,27903.693502,31088.016722
64,32916.132249,30969.930413
65,32628.236987,29894.775695
66,40420.656153,34354.891104
67,34295.086821,33204.591528
68,33422.921978,33637.215471
69,36795.576651,34479.734633
70,40095.461459,34320.540564
71,48114.111463,39353.963283
72,32308.890073,30809.162769
73,30131.327471,35549.530369
74,45143.915253,40141.500993
75,30172.337356,32360.845969
76,47084.840113,36069.435885
77,45268.683003,41007.297888
78,35467.715360,40320.887751
79,45398.195025,40728.125126
80,34886.208969,36831.257796
81,44998.686842,42020.160197
82,45101.444392,40141.335184
83,41040.563005,40158.046729
84,46161.673856,42771.102380
85,40348.959101,41403.165230
86,48352.228008,41755.896376
87,44460.798717,42607.863549
88,45364.999105,44973.761060
89,38347.402712,41897.690829
90,53469.080885,49645.404130
91,50665.748742,45154.232478
92,36872.400533,45351.526583
93,49917.595537,45656.440764
94,54221.198728,48872.608111
95,51167.491491,50028.684035
96,42797.652884,46918.248676
97,47684.969829,47922.796928
98,47819.391803,51234.887638
99,51731.141802,49764.574222
100,51765.733442,52997.906398
101,57133.149575,54354.283809
102,53445.543948,48960.788768
103,61057.276185,54787.908390
104,51676.961983,52708.718888
105,55287.945702,56376.991827
106,53005.121917,55014.543835
107,53948.737437,53399.309780
108,47802.318750,55488.747205
109,56216.723548,49380.474000
110,47856.675819,54970.948138
111,50852.062414,55461.161184
112,58965.618708,57665.621218
113,60055.412179,58630.473324
114,60374.250004,58205.489063
115,56664.551796,59410.114592
116,65982.922037,64312.776677
117,63279.856406,56075.021683
118,53705.449008,59502.825467
119,76440.859873,65330.640906
120,62683.848768,61326.261267
121,67060.830219,64340.365287
122,56750.138935,62484.623537
123,64455.144005,64119.590785
124,70016.670807,61247.799815
125,60385.293825,64180.328040
126,58445.328168,64555.910071
127,60109.643400,63804.866371
128,50445.733018,62684.043856
129,55982.917798,59799.320885
130,78301.805090,61397.316819
131,64380.736226,65607.120972
132,69379.404112,64207.282878
133,59588.861129,63444.751957
134,69855.421192,64794.619347
135,77623.359447,69549.071382
136,75977.889372,67848.017893
137,60953.568895,63331.588342
138,69062.628527,66899.774921
139,72800.902223,64948.958614
140,73167.947888,70283.899877
141,71987.722229,66776.162801
142,77861.376287,73818.214682
143,73323.602521,68563.977425
144,64780.475913,68941.387808
