200,UNIQUE_SUM: m=200 const anomaly=0
1,97.989472,100.000000
2,170.917818,200.000000
3,266.036322,300.000000
4,420.660060,400.000000
5,494.766498,500.000000
6,672.892503,600.000000
7,755.109421,700.000000
8,768.226181,800.000000
9,935.001960,900.000000
10,914.360030,1000.000000
11,1058.530722,1100.000000
12,1381.455820,1200.000000
13,1584.807312,1300.000000
14,1304.128179,1400.000000
15,1591.631939,1500.000000
16,1655.225970,1600.000000
17,1601.272339,1700.000000
18,1770.605603,1800.000000
19,2018.492030,1900.000000
20,1972.304794,2000.000000
21,2307.109761,2100.000000
22,2357.204316,2200.000000
23,2293.657931,2300.000000
24,2197.089282,2400.000000
25,2861.375357,2500.000000
26,2444.284746,2600.000000
27,3204.768425,2700.000000
28,2741.611578,2800.000000
29,3022.380855,2900.000000
30,3171.071146,3000.000000
31,3133.582100,3100.000000
32,3452.494844,3200.000000
33,3333.939010,3300.000000
34,3442.060088,3400.000000
35,3441.211750,3500.000000
36,3526.399359,3600.000000
37,3933.513031,3700.000000
38,3993.799926,3800.000000
39,3606.911703,3900.000000
40,3790.236186,4000.000000
41,4137.763785,4100.000000
42,3965.359484,4200.000000
43,4940.858541,4300.000000
44,4438.492272,4400.000000
45,4381.234373,4500.000000
46,4467.653796,4600.000000
47,4733.727219,4700.000000
48,4694.607120,4800.000000
49,4863.764497,4900.000000
50,4889.353785,5000.000000
51,5292.704972,5100.000000
52,5744.356312,5200.000000
53,5315.559839,5300.000000
54,6440.916203,5400.000000
55,5342.022767,5500.000000
56,5593.420942,5600.000000
57,5803.116912,5700.000000
58,6090.520099,5800.000000
59,5802.204956,5900.000000
60,6070.864615,6000.000000
61,6397.093848,6100.000000
62,5774.516676,6200.000000
63,6271.480596,6300.000000
64,5860.817853,6400.000000
65,6836.915757,6500.000000
66,7445.212239,6600.000000
67,7152.304462,6700.000000
68,7414.635334,6800.000000
69,7096.108120,6900.000000
70,7116.272889,7000.000000
71,7193.402595,7100.000000
72,7281.513635,7200.000000
73,6577.639916,7300.000000
74,8138.520257,7400.000000
75,7276.347365,7500.000000
76,9300.438804,7600.000000
77,8190.699395,7700.000000
78,6976.544326,7800.000000
79,8821.371341,7900.000000
80,7389.026798,8000.000000
81,7873.254898,8100.000000
82,9050.275180,8200.000000
83,8353.017387,8300.000000
84,9553.889270,8400.000000
85,8758.935966,8500.000000
86,9408.301085,8600.000000
87,9758.181470,8700.000000
88,8803.934308,8800.000000
89,8704.126897,8900.000000
