100,UNIQUE_SUM: m=100 const anomaly=5
1,940992.406439,885384.621419
2,1013304.173329,947208.829578
3,1541625.011680,1821738.566455
4,2571882.172692,2205918.520239
5,2482597.549579,2787714.162075
6,2167833.549674,2168966.281549
7,3137002.960639,2859237.243959
8,3215380.626940,3334569.617109
9,5139018.900053,4943362.707158
10,5167303.028725,4994034.624310
11,5405595.057454,5920890.894023
12,5843676.006817,5615710.986699
13,9373390.754562,7790542.800196
14,5958514.950141,6944898.372631
15,5943774.403608,6221835.007230
16,8015029.796079,8063099.035982
17,8653076.420326,9588958.488800
18,8575993.091722,8218594.788059
19,9257016.530165,9088525.982180
20,9020331.296546,8574552.111546
21,11503879.086319,10456130.528681
22,12363292.634580,9828682.679952
23,11549575.178655,11459989.515035
24,10178003.572967,11107325.482802
25,10984719.582407,10281097.558146
26,9998438.600868,11174656.677517
27,17667232.096161,14272082.580694
28,12938509.899521,14450439.752811
29,15988387.820301,15324976.489629
30,14080654.308103,12564835.161625
31,14869194.891314,15050235.482856
32,13087777.935064,15094025.396899
33,18444471.999785,16526521.094378
34,20673428.192652,19652879.603225
35,19434419.960278,16157400.221401
36,19185585.575726,18962928.812708
37,19255430.550877,16919627.894006
38,20847819.283825,20205303.250117
39,17944278.151498,18339634.370147
40,18175940.439059,19686770.468619
41,17077560.451730,17245151.150327
42,20523546.955688,23188470.729336
43,25460199.998206,21761884.582733
44,20126304.699721,19368367.849508
45,20132740.425138,20132197.833048
46,24184629.067069,21956627.821706
47,26779118.878032,26010464.277687
48,23834080.581850,23138934.941106
49,30928284.508090,28675609.752500
50,22882122.853438,25247074.544416
51,27600542.165359,24162693.689434
52,24670740.274634,24497490.468773
53,23748344.446352,22312636.529769
54,27798977.885389,23103943.708032
55,22609145.191578,28821602.794648
56,26344959.487367,26492975.342380
57,27515550.147333,25727542.549294
58,28778970.153025,32166456.454959
59,26205244.717586,26545894.558578
60,28434086.823339,27158416.278087
61,36683502.930152,29947696.572910
62,26246036.825744,26877619.101046
63,30471605.231106,29652625.907936
64,35648489.306435,33911725.082604
65,31137789.690435,34858034.993317
66,36137160.845127,35066276.887880
67,39627731.654458,33828784.124159
68,40706000.718528,36608196.163298
69,37340063.535352,36894039.332399
70,40045186.367243,35349187.099928
71,39683829.944373,34900110.475682
