100,UNIQUE_SUM: m=100 range=(1000; 2000)
1,1202.647763,1131.577499
2,3044.713577,3631.452618
3,3870.597552,4458.358571
4,6308.925277,5682.989228
5,7065.711259,7797.845477
6,9877.780222,8708.599863
7,12385.250763,11163.407926
8,12322.808646,12818.349632
9,15205.696479,14198.959935
10,13400.860113,14659.936384
11,15695.053617,18269.665085
12,21104.755208,18048.283377
13,22144.473448,19357.998015
14,17663.094291,19956.920756
15,22713.464335,24217.580151
16,23753.457178,23965.746252
17,23978.977153,25013.697758
18,28428.574026,26307.669090
19,27127.708917,28107.478992
20,31506.102392,31932.347361
21,33834.544957,31900.897153
22,35119.841716,32686.458829
23,33231.617843,33275.896761
24,32415.090916,35592.222195
25,41058.283206,35307.539412
26,35227.062568,38528.869112
27,49477.327420,40338.064947
28,38846.324475,39601.590562
29,48474.876896,43495.070216
30,55209.834811,47385.187531
31,55507.965903,50041.520133
32,47571.389394,49235.469571
33,59585.772294,49085.701263
34,50157.950684,51379.217223
35,57593.235330,49130.822641
36,50954.669977,53348.231219
37,58435.253916,56133.978964
38,60087.778234,54693.558715
39,54479.982773,55813.683937
40,53193.419592,60532.700289
41,63591.383000,62165.311607
42,53237.876033,60700.664912
43,78950.970658,63840.531011
44,72666.318886,68888.034303
45,71394.206515,67477.200999
46,65389.834501,70878.237550
47,73753.665408,66803.571257
48,65914.548257,69438.116709
49,80487.199660,75932.625726
50,70956.651114,76424.193208
51,80638.515607,77527.392292
52,77362.836727,74182.691348
53,80278.419156,77954.836894
54,92155.795052,78993.770833
55,70965.954462,83504.221533
56,91867.817741,85535.433788
57,101415.149127,87685.561006
58,81499.373923,87464.271192
59,94165.729195,89518.028608
60,97956.504273,93008.023804
61,100569.196984,94293.939877
62,84174.900698,91967.847005
63,86285.109019,93173.153576
64,95293.640218,94282.104913
65,102450.243887,100941.754557
66,108005.143747,99069.217010
67,115962.456925,97440.503959
68,109347.730889,104593.030162
69,94783.087920,98846.278665
70,108036.885423,107234.216718
71,122243.889947,107951.151407
72,108026.482945,106159.881794
73,97562.530136,110216.199019
74,125115.247055,107715.618914
75,120420.002964,115679.713263
76,139526.583328,113226.322082
77,142018.458655,115026.946433
78,99284.492545,118466.483836
79,159320.584422,115613.244156
80,94922.425699,117856.802988
81,117094.937184,117749.050762
82,125285.997887,123261.794737
83,116629.679376,124290.603743
84,151854.106958,130447.144336
85,144898.762637,124324.225654
86,159166.351565,129340.255585
87,138044.837866,125860.548778
88,134170.975653,131693.744234
89,122550.359136,131017.734077
90,152812.592396,136702.740468
91,136766.372676,136755.171411
92,135393.718110,141030.145463
93,146397.298857,143657.197000
94,144046.764170,139126.341834
95,144456.502339,137638.720594
96,137423.083187,144014.485649
97,153382.784673,142208.078289
98,147752.006167,148338.234211
99,152995.938319,148749.157183
100,153888.126231,149248.258201
101,139033.969623,148690.514497
102,173661.555403,152987.433051
103,156714.655866,150348.468429
104,145218.988727,153860.230044
105,152854.037635,153948.955950
106,150909.396074,155247.751437
