100,UNIQUE_SUM: m=100 const hash1
1,106.280636,100.000000
2,167.263693,200.000000
3,261.582368,300.000000
4,441.198682,400.000000
5,438.731416,500.000000
6,702.582138,600.000000
7,799.191975,700.000000
8,736.118609,800.000000
9,966.105372,900.000000
10,913.137977,1000.000000
11,961.199180,1100.000000
12,1439.245659,1200.000000
13,1525.435170,1300.000000
14,1226.814073,1400.000000
15,1439.811770,1500.000000
16,1596.930909,1600.000000
17,1662.227986,1700.000000
18,1956.673147,1800.000000
19,1873.118583,1900.000000
20,2012.262284,2000.000000
21,2294.074821,2100.000000
22,2368.580149,2200.000000
23,2279.105081,2300.000000
24,2211.560638,2400.000000
25,2845.734298,2500.000000
26,2354.326899,2600.000000
27,3279.544565,2700.000000
28,2630.943138,2800.000000
29,3068.761518,2900.000000
30,3613.927493,3000.000000
31,3349.305283,3100.000000
32,3129.551059,3200.000000
33,4085.902841,3300.000000
34,3433.677860,3400.000000
35,3981.611374,3500.000000
36,3466.337851,3600.000000
37,3804.514205,3700.000000
38,4028.550507,3800.000000
39,3731.222951,3900.000000
40,3637.752035,4000.000000
41,4140.294236,4100.000000
42,3709.990352,4200.000000
43,5268.081689,4300.000000
44,4697.521487,4400.000000
45,4676.000522,4500.000000
46,4195.240368,4600.000000
47,5181.145961,4700.000000
48,4787.372263,4800.000000
49,4939.510251,4900.000000
50,4448.547942,5000.000000
51,5461.230009,5100.000000
52,5654.968523,5200.000000
53,5496.322526,5300.000000
54,6329.550124,5400.000000
55,4711.261016,5500.000000
56,6004.261603,5600.000000
57,6581.486262,5700.000000
58,5438.829480,5800.000000
59,6095.886843,5900.000000
60,6145.726121,6000.000000
61,6624.988492,6100.000000
62,5735.326987,6200.000000
63,5994.591714,6300.000000
64,6407.296880,6400.000000
65,6487.712830,6500.000000
66,7301.824087,6600.000000
67,7898.641706,6700.000000
68,7389.485909,6800.000000
69,6765.194320,6900.000000
70,7052.064962,7000.000000
71,7627.282450,7100.000000
72,7449.334268,7200.000000
73,6390.769651,7300.000000
74,8546.630284,7400.000000
75,7976.043708,7500.000000
76,9670.685665,7600.000000
77,9557.259814,7700.000000
78,6605.857838,7800.000000
79,10590.754341,7900.000000
80,6622.162008,8000.000000
81,8211.122932,8100.000000
