100,UNIQUE_AVG: m=100 range=(1; 10)
1,5.094947,5.094947
2,3.147013,3.225464
3,4.827891,4.954665
4,3.053626,3.190575
5,6.425901,6.532747
6,5.265690,5.419076
7,5.192324,5.325076
8,6.316659,5.742213
9,6.417646,6.714282
10,6.843138,6.013722
11,6.799048,6.600663
12,5.254841,5.420983
13,5.465929,5.578414
14,6.485164,6.592070
15,6.212116,6.038753
16,5.032399,5.347906
17,6.695678,6.900639
18,5.925318,5.951367
19,4.576053,4.779117
20,5.404883,5.311813
21,5.204012,5.739789
22,5.091546,4.937669
23,6.005649,5.632898
24,4.872689,5.037767
25,4.209532,4.703258
26,5.251510,5.135284
27,6.571992,6.076370
28,5.635991,5.242562
29,5.450142,5.605016
30,5.821549,5.808789
31,6.047451,5.687895
32,5.466504,5.567936
33,5.325646,5.810794
34,5.438490,5.500231
35,5.099618,5.394095
36,5.881822,5.706414
37,5.670743,5.619588
38,5.282510,5.243360
39,5.771826,5.812124
40,5.013815,5.491834
41,5.577840,5.643490
42,5.506054,4.946826
43,5.261064,5.462064
44,5.788842,5.469241
45,5.428235,5.634299
46,5.982868,5.464972
47,5.807500,5.601345
48,5.067855,5.533347
49,6.290018,5.295701
50,5.619784,5.348616
51,5.772755,5.761186
52,4.907687,5.024643
53,5.684395,5.254160
54,5.307255,5.680244
55,5.690606,5.869543
56,5.010466,4.987654
57,5.938971,5.856348
58,5.526688,5.428380
59,5.836204,5.225886
60,5.349224,5.643049
61,5.672630,5.381940
62,5.549172,5.496625
63,5.829231,5.689565
64,5.940355,5.675643
65,5.304789,5.663170
66,5.435449,5.710709
67,5.720049,5.728648
68,4.686719,4.995827
69,5.417681,5.283040
70,5.715502,5.574322
71,5.395388,5.406957
72,5.576433,5.642978
73,5.306671,5.095047
74,4.808625,5.198788
75,5.055325,5.285045
76,4.668732,5.454344
77,4.964054,5.190293
78,5.953993,5.470455
79,4.654134,5.135899
80,5.822894,5.617254
81,6.489262,5.952197
82,5.472303,5.486024
83,6.114724,6.058454
84,5.750965,5.714806
85,5.163558,5.152368
86,5.473002,5.782860
87,4.447189,4.919076
88,5.541328,5.351685
89,5.398364,5.656947
90,5.540733,5.612036
91,5.623572,5.782656
92,5.656802,5.729204
93,5.013627,5.275878
94,6.198153,5.540794
95,5.032630,5.193234
96,5.037724,4.967559
97,5.671351,5.452411
98,5.065702,5.212916
99,6.025777,5.562103
100,4.960467,5.178794
101,5.618396,5.661092
102,6.001476,5.766344
103,5.959797,5.504648
104,6.029203,5.933516
105,4.934519,5.125852
106,4.829368,5.196964
107,5.924641,5.299597
108,5.105523,5.154705
109,5.497026,5.468971
110,5.426611,5.443082
111,6.526808,5.833835
112,5.381618,5.543215
113,4.789123,5.009711
114,4.777294,5.213125
115,5.248585,5.195889
116,5.216718,5.268973
117,5.127643,5.286131
118,5.727987,5.769128
119,5.805885,5.832060
120,4.936515,5.153101
121,5.920692,5.591153
122,5.308681,5.448775
123,5.254531,5.757576
124,4.939460,5.352093
125,5.588268,5.483236
126,5.281114,5.507458
127,5.792733,5.685867
128,4.962741,5.323622
129,5.527550,5.547143
130,5.192880,5.730518
131,5.562166,5.628742
132,5.661277,5.598995
133,5.217236,5.344976
134,5.636966,5.504482
135,5.643387,5.549770
136,6.043070,5.818167
137,4.979443,5.628842
138,5.647490,5.317629
139,4.934593,5.410316
140,5.626758,5.132927
141,5.274486,5.414303
142,5.533191,5.607256
143,5.332834,5.435168
144,5.895600,5.212705
145,5.034866,5.332157
146,5.752346,5.861755
147,5.074415,5.416834
148,5.452017,5.812324
149,5.384199,5.484379
150,5.500114,5.763643
151,5.348954,5.223790
152,5.227891,5.425919
153,5.768902,5.528259
154,5.351884,5.371993
155,6.163561,5.605345
156,5.130251,5.389578
157,6.011811,5.642717
158,5.166814,5.593003
159,5.439355,5.364787
160,6.093382,5.924537
