100,UNIQUE_AVG: m=100 range=(1; 1000)
1,419.350956,419.350956
2,394.383024,399.436311
3,837.805658,845.830164
4,629.205497,642.878343
5,333.569346,363.232945
6,635.536651,683.355973
7,344.992349,407.052149
8,461.171564,461.809428
9,567.607403,559.688624
10,483.025019,512.410543
11,541.711203,492.007118
12,463.353526,462.728684
13,476.322642,449.852811
14,665.420425,692.038339
15,470.464464,455.492118
16,476.630621,467.607299
17,418.599254,433.290342
18,507.504072,500.262210
19,492.976416,487.426481
20,536.924170,519.833770
21,630.825875,638.590560
22,571.296046,561.952887
23,446.763519,432.428479
24,493.642719,512.529385
25,498.081159,480.667633
26,422.484970,437.125115
27,504.353434,465.585610
28,599.522317,630.379722
29,477.914721,435.324651
30,460.713984,465.787264
31,398.697483,437.688470
32,472.728514,536.501191
33,472.781060,502.349672
34,474.968927,455.337058
35,496.505767,549.289350
36,535.668485,544.732858
37,422.669974,416.287356
38,557.195210,467.273488
39,492.929924,469.125631
40,432.525576,427.717281
41,430.833022,469.917812
42,532.878340,525.308621
43,413.984861,452.933721
44,433.444080,400.710855
45,483.677905,519.199847
46,492.750177,526.938369
47,489.099599,439.775541
48,504.023234,499.637979
49,572.225904,554.613596
50,485.588026,471.527963
51,550.603766,565.389879
52,430.822418,513.088714
53,561.926727,511.399887
54,387.979652,461.589441
55,473.453826,490.566060
56,476.976373,486.175539
57,456.575483,474.275002
58,565.342803,527.976584
59,563.343041,505.643327
60,483.063297,530.879333
61,476.986484,487.512651
62,535.599787,541.535478
63,430.037300,507.435371
64,535.507212,537.943799
65,509.268318,524.791734
66,455.655460,464.087574
67,581.459918,548.450848
68,485.255916,507.208791
69,520.572508,517.568599
70,529.295115,493.249043
71,523.969204,499.198105
72,501.552177,505.052104
73,484.147905,496.837117
74,429.770751,469.674868
75,538.643459,528.591197
76,420.794767,468.726263
77,496.957086,547.958818
78,556.952009,555.803430
79,560.615057,519.189486
80,519.564615,479.138184
81,485.291218,540.226029
82,519.848308,494.723586
83,529.640179,519.276415
84,505.244197,489.531178
85,473.391981,504.900534
86,525.581339,508.392049
87,489.199753,525.886606
88,558.905986,556.190682
89,514.123552,517.075839
90,460.260144,476.561986
91,482.467151,485.487632
92,513.481046,505.137921
93,441.511236,467.120988
94,558.374919,529.798355
95,448.653016,497.115498
96,529.944979,519.576619
97,525.507511,526.862603
98,401.983165,464.016480
99,565.228875,520.083516
100,511.166630,513.558914
101,509.477797,521.430727
102,478.883574,494.085953
103,490.748234,462.579580
104,547.580714,516.602303
105,546.094427,517.555783
106,516.980838,527.584964
107,514.066679,496.264297
108,543.565773,527.944891
109,506.473206,490.145758
110,541.961260,508.742438
111,500.472428,436.244537
112,511.952806,522.003237
113,595.952659,506.628855
114,536.329466,514.708477
115,516.636954,500.815903
116,423.706613,456.605706
117,510.372624,459.170479
118,458.755259,464.268873
119,496.709581,492.291003
120,505.378266,496.544719
121,489.797717,490.828567
122,491.513841,504.155290
123,514.253047,514.001401
124,481.104856,472.186401
125,490.389113,477.951259
126,457.708381,511.719958
127,496.862894,519.729582
128,491.189119,500.440010
129,469.016059,485.911662
130,443.473388,486.383907
131,516.933764,512.682884
132,558.519134,532.661364
133,450.804679,496.284606
134,548.112288,552.420633
135,562.770072,539.006657
136,523.687865,521.765080
137,498.858399,518.242858
138,499.280875,502.541630
139,447.538198,479.630126
140,491.009016,496.257713
141,513.478853,519.729830
142,492.636373,480.839131
143,480.488212,505.551642
144,428.200450,473.619417
145,480.492759,494.745814
146,536.083386,507.273625
147,513.010112,504.576310
148,481.425450,510.134465
149,461.111071,473.819675
150,523.095464,527.919137
151,613.007005,554.149229
152,488.202345,518.465848
153,518.765174,492.727391
154,533.914206,520.015383
155,542.576744,515.866559
156,453.893870,476.109048
157,473.032849,467.220111
158,563.879765,549.354198
159,497.795968,496.322485
160,504.570427,495.485489
161,455.315685,477.646602
162,540.144292,517.667284
163,553.637208,532.669414
164,526.729361,521.203689
165,540.639393,524.881993
166,500.233170,512.695674
167,486.046681,490.675914
168,492.428188,515.341270
169,462.453865,464.928373
170,494.189832,500.032734
171,456.257967,507.920577
172,619.237822,560.508004
173,481.813327,491.306784
174,498.497312,481.242116
175,563.199133,514.239145
176,485.476060,482.790324
177,491.436581,471.533965
178,489.040186,543.344980
179,554.428836,516.440507
180,545.260327,508.315076
181,544.568978,524.661016
182,482.091526,503.480418
183,433.807728,507.134375
184,532.580731,490.209454
185,458.822895,498.675291
186,452.415830,474.061342
187,491.862281,482.332152
188,468.266818,500.358957
189,428.792201,492.865045
190,550.630131,526.040491
191,570.802055,525.043985
192,585.151909,531.046298
193,522.170861,483.952312
194,519.155252,528.192483
